Time	Yaw	Pitch	Roll
63002.0	371.99	800.71	1007.8
63010.0	480.14	856.97	712.45
63018.0	327.85	887.53	4263.04
63026.0	781.31	695.96	1741.59
63033.0	672.68	1182.88	2509.81
63041.0	363.74	1419.07	2245.01
63049.0	106.7	906.44	948.15
63057.0	-1130.51	1111.11	-683.35
63065.0	-21.34	1378.82	962.21
63073.0	-3.88	1333.71	2958.42
63081.0	-65.96	754.16	1197.43
63088.0	-11.15	348.71	751.25
63096.0	235.22	436.97	737.67
63104.0	132.4	352.59	974.82
63112.0	478.68	500.99	717.3
63120.0	739.61	175.57	1432.65
63127.0	948.64	413.21	888.01
63135.0	678.98	9.21	1455.45
63143.0	61.59	368.59	1281.34
63151.0	-722.63	-550.95	1903.09
63159.0	-272.08	-442.79	1200.83
63167.0	569.86	-321.06	806.05
63175.0	517.48	-352.1	1034.96
63182.0	346.77	283.23	957.85
63190.0	75.17	-716.81	1142.63
63198.0	-77.11	557.25	1135.84
63206.0	-443.76	-711.96	1532.07
63215.0	-806.05	-322.52	1270.18
63222.0	-659.1	588.77	946.21
63230.0	-756.58	-129.98	1041.75
63237.0	-996.65	1154.75	1262.91
63245.0	-908.87	2.42	932.15
63253.0	-1040.3	275.47	1402.58
63261.0	-942.82	-20.85	768.7
63269.0	-882.19	894.32	1126.63
63276.0	-756.1	632.42	823.51
63284.0	-671.22	354.53	921.96
63292.0	-750.76	290.02	776.46
63300.0	-743.49	24.25	921.48
63308.0	-561.13	322.52	768.7
63316.0	-519.42	321.06	1022.35
63324.0	-482.56	74.2	1025.26
63331.0	-358.41	215.82	678.98
63339.0	-283.72	150.83	1078.61
63347.0	-210.97	227.94	1062.12
63355.0	-98.94	177.51	1259.03
63363.0	35.4	231.34	976.28
63370.0	188.66	277.9	968.52
63378.0	138.22	-201.27	1230.41
63386.0	184.78	113.97	971.91
63394.0	314.27	201.75	1101.41
63402.0	288.57	-225.03	968.03
63409.0	385.08	131.92	790.53
63417.0	511.66	234.73	931.66
63425.0	451.04	260.92	993.25
63433.0	300.69	123.67	891.41
63441.0	291.96	182.84	1316.74
63450.0	223.58	290.02	1131.96
63457.0	209.51	261.41	874.43
63465.0	136.28	251.71	1145.54
63472.0	226.97	171.69	1562.63
63480.0	17.46	313.79	1026.72
63488.0	82.93	184.3	1146.99
63496.0	52.38	292.93	878.8
63504.0	2.91	174.11	1300.74
63511.0	4.36	55.29	791.5
63519.0	-0.48	102.33	680.92
63527.0	-66.44	198.36	1179.97
63535.0	-229.88	119.31	780.83
63543.0	-217.27	323.49	950.09
63551.0	-146.95	355.5	779.37
63558.0	-102.82	671.71	984.52
63566.0	32.98	673.16	524.76
63574.0	-108.15	260.92	1083.46
63582.0	-196.42	216.3	1147.96
63590.0	-49.95	497.11	303.6
63598.0	60.62	829.81	805.08
63606.0	-23.28	168.29	1069.4
63613.0	56.74	496.14	1264.36
63621.0	173.63	496.63	1145.05
63629.0	25.7	145.98	864.25
63637.0	206.12	652.31	1324.99
63645.0	429.7	296.33	1353.6
63652.0	385.08	-31.52	1254.18
63660.0	331.73	-87.3	1306.56
63668.0	528.15	278.38	1020.41
63676.0	506.81	397.2	1118.38
63684.0	465.1	-80.99	1503.95
63693.0	703.72	112.03	1079.1
63699.0	702.26	323.0	909.84
63707.0	806.05	627.09	1112.08
63715.0	830.3	577.13	889.47
63723.0	791.98	325.43	1114.5
63731.0	626.12	151.8	937.97
