Time	Yaw	Pitch	Roll
28004.0	24.25	1275.03	3939.07
28059.0	16.0	686.74	607.69
28114.0	219.21	1001.01	1720.73
28169.0	98.94	469.95	267.23
28226.0	117.85	-686.26	1313.83
28281.0	-28.13	-1404.04	760.95
28335.0	-517.0	-1313.35	1098.01
28391.0	-1029.63	-691.11	1123.23
28446.0	-289.54	-1254.66	3601.52
28501.0	110.09	12.61	921.96
28556.0	130.46	-97.0	1042.72
28611.0	219.7	-263.83	857.46
28667.0	-71.29	-182.36	1139.24
28722.0	-329.31	-213.39	868.13
28777.0	-156.17	-302.63	823.99
28833.0	-99.91	-322.03	879.77
28888.0	-74.69	-308.45	1063.09
28943.0	138.22	-116.4	706.63
28998.0	155.2	-294.87	852.12
29054.0	514.09	-501.48	640.18
29109.0	1208.59	-506.81	1222.17
29164.0	0.48	166.35	2183.9
29219.0	-859.4	1613.55	2743.09
29274.0	-167.32	867.64	376.84
29330.0	300.69	643.09	1518.01
29385.0	558.71	136.28	492.75
29440.0	476.74	-612.54	1091.22
29496.0	99.91	-1032.54	799.74
29551.0	-325.91	-1190.16	1527.22
29606.0	-1470.97	-757.07	561.62
29661.0	-579.56	-1257.57	2187.78
29716.0	713.42	-38.31	1185.31
29772.0	-28.61	-143.56	1138.27
29827.0	-290.02	-4.36	748.82
29882.0	62.56	-193.02	975.79
29937.0	-112.03	-259.47	1354.57
29993.0	-167.81	-578.59	794.41
30048.0	-130.46	-93.6	842.42
30103.0	-143.56	-370.05	845.33
30158.0	264.32	-348.71	915.66
30213.0	519.42	-308.94	806.05
30269.0	1113.53	-223.58	1099.47
30324.0	-198.36	-53.83	3284.33
30379.0	-719.24	897.23	2531.63
30435.0	336.1	428.24	525.24
30490.0	671.22	538.82	754.64
30545.0	473.35	-198.36	254.62
30600.0	286.63	-857.46	941.36
30655.0	-100.88	-1531.1	1170.76
30711.0	-360.35	-1381.73	170.23
30766.0	-1980.2	-1896.3	1605.79
30821.0	525.24	-223.09	1083.95
30876.0	-178.48	-250.25	1241.08
30932.0	-830.3	-53.83	681.89
30987.0	-555.31	-206.12	896.74
31042.0	-106.21	-507.3	979.19
31098.0	-68.38	-369.56	1078.13
31153.0	67.41	-418.06	1140.21
31208.0	170.23	-365.2	1009.74
31263.0	181.39	-336.1	759.49
31319.0	378.29	-535.91	1207.62
31374.0	869.58	-327.37	1333.23
31429.0	-269.65	115.91	1695.52
31484.0	-953.0	312.33	4312.02
31539.0	-142.1	1002.47	1323.05
31595.0	565.01	984.04	743.49
31650.0	690.62	202.72	622.24
31705.0	597.02	-550.46	418.54
31761.0	93.12	-1317.23	1406.95
31816.0	-509.24	-1169.3	1117.9
31871.0	-1042.72	-1492.31	1356.51
31926.0	-318.64	-1165.91	1289.58
31981.0	321.55	-281.29	811.38
32037.0	-315.73	-182.36	1041.75
32092.0	-373.44	-366.65	1077.64
32147.0	-384.59	-16.97	1113.53
32202.0	-316.7	-126.1	637.27
32257.0	30.55	-488.38	1003.92
32313.0	333.19	-259.47	811.38
32368.0	353.07	-399.63	1211.01
32424.0	569.86	-403.99	727.0
32478.0	819.14	-239.58	1236.72
32534.0	-640.18	371.02	2821.17
32589.0	-278.38	1049.03	2837.66
32644.0	292.45	669.28	1205.68
32699.0	638.24	601.38	130.95
32755.0	626.12	-503.9	966.09
32810.0	8.73	-1513.16	1206.65
32866.0	-421.94	-1205.19	1325.47
32921.0	-1461.75	-1598.03	-743.97
32976.0	-960.27	-1508.8	1867.2
33031.0	379.75	-521.85	435.52
33086.0	-156.17	-173.14	944.76
33142.0	-216.79	-50.44	859.88
33197.0	243.46	-332.7	510.21
33252.0	187.21	-274.5	847.76
33307.0	17.94	-231.82	1051.45
33363.0	-97.48	-471.89	1242.54
33418.0	-150.83	-198.36	858.91
33473.0	-298.75	-348.22	1201.8
33528.0	18.43	-581.98	704.2
33584.0	279.84	-726.51	1037.39
33639.0	829.33	-656.67	694.5
33694.0	128.52	221.64	1641.2
33750.0	-364.23	565.98	3499.67
33804.0	49.47	665.89	1189.67
33860.0	169.75	436.97	554.83
33915.0	286.63	222.61	515.06
33970.0	260.44	-276.93	529.61
34025.0	310.39	-740.09	985.49
34081.0	92.63	-1112.08	1175.12
34136.0	-97.0	-1294.92	1171.73
34191.0	-206.12	-1072.79	3029.23
34246.0	-777.92	-1072.31	-969.49
34302.0	389.44	-768.7	926.33
34357.0	-127.55	-253.65	969.0
34412.0	-374.9	-130.95	929.72
34467.0	-231.34	-129.49	1101.41
34523.0	133.86	-389.44	717.78
34578.0	119.79	-233.76	802.17
34638.0	-145.255	-413.20500000000004	993.495
34696.0	20.85	-351.62	808.47
34752.0	227.94	-506.81	1527.71
34807.0	499.05	-712.93	780.34
34862.0	1069.88	-692.56	1327.41
34917.0	105.24	-96.51	1703.76
34972.0	-348.71	627.09	3829.46
35028.0	-215.33	681.89	8.73
35084.0	456.37	383.62	1555.35
35138.0	429.7	150.83	6.79
35193.0	518.94	-655.22	566.47
35249.0	184.78	-1190.64	1932.19
35304.0	-290.02	-1835.19	48.98
35359.0	-672.19	-1302.68	2730.48
35414.0	-979.67	-1663.02	578.1
35470.0	448.61	-255.59	448.13
35525.0	-74.2	-18.91	961.24
35580.0	-122.7	-141.13	919.54
35635.0	-129.01	-118.82	972.4
35691.0	-270.14	-174.11	959.3
35746.0	-311.85	-361.8	980.64
35801.0	-75.66	-513.6	846.3
35856.0	119.31	-508.27	912.26
35912.0	146.95	-635.33	915.17
35967.0	592.17	-533.0	1009.26
36022.0	1175.12	-733.79	1397.25
36077.0	-154.71	-71.78	2494.77
36133.0	-227.46	1121.78	4345.0
36188.0	-80.02	571.32	698.38
36243.0	487.9	501.96	645.03
36298.0	654.73	-2.91	274.5
36354.0	610.6	-985.98	1195.98
36409.0	-307.0	-844.36	442.79
36464.0	-597.5	-957.36	336.1
36519.0	-1009.26	-1127.6	260.92
36575.0	715.84	-802.65	1659.63
36630.0	5.33	-241.52	948.15
36685.0	-116.88	-180.42	932.15
36740.0	-366.65	-196.42	909.84
36795.0	-581.98	-292.45	1073.76
36852.0	-410.3	-305.54	599.44
36906.0	-193.51	-533.97	1070.37
36961.0	287.11	-479.65	664.43
37016.0	332.7	-551.43	824.96
37072.0	519.42	-778.89	994.22
37127.0	1189.19	-751.25	838.54
37182.0	472.86	-232.79	1806.58
37238.0	-787.62	1309.47	2990.43
37293.0	-204.18	746.4	636.3
37348.0	469.47	537.37	969.49
37403.0	695.96	58.2	480.14
37459.0	687.71	-602.35	117.37
37514.0	577.62	-1559.72	1148.45
37570.0	-52.38	-1568.45	360.35
37624.0	-1162.03	-1261.94	-1576.21
37679.0	186.24	-482.56	935.06
37735.0	910.32	-162.47	717.3
37790.0	-14.06	-240.07	1112.56
37846.0	-484.02	38.8	890.44
37901.0	-476.26	-266.74	476.74
37956.0	-304.09	-399.63	924.39
38011.0	-270.62	-401.08	905.96
38066.0	-281.29	-341.92	1380.76
38121.0	23.28	-494.69	873.46
38177.0	224.06	-504.87	760.95
38232.0	421.94	-412.72	467.53
38284.0	900.62	-567.44	694.02
38342.0	390.9	405.93	1462.24
38398.0	-1259.03	653.76	3968.17
38453.0	-492.75	979.19	1237.69
38508.0	399.14	676.07	617.87
38563.0	589.74	475.29	1004.41
38619.0	631.94	-109.12	354.53
38674.0	525.24	-761.43	1753.23
38730.0	78.57	-1427.32	1053.39
38784.0	-563.07	-1364.75	412.72
38840.0	-268.68	-204.66	1673.21
38895.0	706.63	-1526.74	1242.05
38950.0	-51.89	-195.93	763.85
39005.0	-145.01	-143.07	1060.18
39061.0	-498.08	-16.49	932.63
39116.0	-716.33	-315.24	896.26
39171.0	-547.55	-310.88	1047.57
39226.0	-105.24	-468.5	794.41
39282.0	390.9	-367.14	748.82
39337.0	525.24	-332.22	1003.92
39392.0	533.49	-560.16	1083.46
39447.0	1200.83	-629.51	728.94
39502.0	-480.62	-378.78	1378.82
39559.0	-899.65	258.01	4300.87
39613.0	-308.94	803.14	1608.22
39668.0	194.48	533.49	1230.41
39724.0	390.41	233.76	559.68
39779.0	500.99	-339.49	-201.27
39834.0	416.12	-1068.91	2219.3
39889.0	-96.03	-1557.78	1519.95
39944.0	-312.82	-1224.59	2858.51
40000.0	-372.47	-2050.04	1931.22
40055.0	655.22	-310.39	618.84
40110.0	-339.49	58.68	1046.12
40165.0	-307.0	-70.81	923.42
40221.0	-136.28	-443.76	1316.26
40276.0	64.02	-255.59	1050.97
40331.0	-127.07	-284.69	857.94
40386.0	-563.07	-369.56	882.19
40441.0	-157.14	-449.1	1122.75
40497.0	173.63	-468.5	651.34
40552.0	437.46	-468.01	1365.72
40607.0	1140.21	-470.44	897.71
40663.0	139.19	179.45	1108.2
40718.0	-307.0	54.32	4416.29
40773.0	89.24	998.59	1307.53
40828.0	-11.64	423.88	696.93
40884.0	266.74	465.1	712.93
40939.0	434.06	75.17	567.92
40994.0	365.2	-817.2	1026.72
41049.0	-40.74	-1674.66	1421.5
41104.0	-678.98	-1848.29	838.54
41161.0	-288.08	-1684.36	1091.22
41215.0	751.73	-591.2	772.58
41271.0	23.76	-46.07	824.48
41326.0	-362.77	-192.05	952.03
41381.0	-311.36	-142.1	1177.06
41436.0	-220.18	-353.56	1154.27
41491.0	-120.28	-229.88	1038.84
41547.0	-214.85	-250.74	1016.53
41602.0	140.16	-436.49	866.67
41657.0	272.08	-448.61	858.43
41712.0	561.62	-672.19	887.53
41768.0	1295.89	-700.32	836.6
41823.0	636.79	-184.78	1308.01
41878.0	-1628.59	542.22	3433.71
41933.0	-1062.61	969.49	1069.88
41988.0	-253.65	452.98	1336.14
42044.0	417.57	593.62	215.33
42099.0	773.55	60.62	896.74
42154.0	800.71	-526.21	276.44
42209.0	118.34	-1931.22	2041.8
42265.0	-706.63	-1837.62	1041.27
42320.0	-777.43	-2510.78	449.58
42375.0	670.74	-534.46	1395.31
42430.0	188.66	-34.43	1304.62
42486.0	-118.34	-304.09	1445.26
42541.0	-330.76	-191.08	833.21
42596.0	-562.1	-173.63	1189.19
42651.0	-601.87	-271.11	945.73
42707.0	-339.98	-317.67	883.65
42762.0	78.57	-371.02	870.07
42817.0	285.66	-406.9	1135.84
42872.0	662.98	-454.92	1022.35
42928.0	1145.05	-485.96	931.18
42983.0	879.28	-857.94	920.51
43038.0	-415.15	106.21	2544.73
43094.0	-1130.99	668.31	2602.44
43148.0	-94.57	452.49	1410.83
43204.0	361.32	620.78	880.25
43259.0	574.22	-17.94	818.66
43315.0	551.43	-573.25	290.99
43370.0	165.87	-903.05	1898.73
43425.0	-361.8	-1639.26	190.6
43480.0	-716.81	-2281.87	-1851.68
43535.0	718.75	-1082.98	938.45
43590.0	274.99	-239.1	1011.68
43646.0	-55.29	-145.98	1169.79
43701.0	-113.0	-250.25	1023.81
43756.0	-112.52	-354.04	987.43
43811.0	-248.31	-200.78	1063.09
43867.0	-379.26	-311.85	920.99
43922.0	-258.98	-462.19	744.46
43977.0	61.59	-328.34	711.96
44033.0	365.2	-634.36	814.78
44088.0	359.86	-621.27	745.91
44143.0	1105.77	-599.93	1051.94
44198.0	171.2	59.65	1346.81
44253.0	-859.4	210.97	2202.81
44309.0	-522.82	1486.49	3047.18
44364.0	-16.97	217.27	1935.58
44419.0	354.53	265.29	-107.67
44475.0	558.71	-90.69	839.51
44530.0	452.01	-594.59	243.46
44585.0	-143.07	-1296.86	835.15
44640.0	29.1	-1588.82	1297.34
44695.0	-928.75	-2135.4	2164.98
44751.0	453.46	-2108.72	621.75
44807.0	294.87	-25.22	1173.67
44861.0	-186.72	-159.56	954.45
44917.0	-326.4	-295.84	1135.36
44972.0	-243.46	-192.54	1021.87
45027.0	-147.92	-345.8	1150.39
45082.0	-100.39	-329.79	856.0
45137.0	-13.09	-357.44	974.34
45193.0	252.19	-368.59	982.58
45248.0	520.88	-385.56	948.15
45303.0	636.79	-704.69	542.7
45358.0	1264.85	-959.79	988.4
45414.0	-551.92	-106.21	1876.42
45469.0	-1046.6	726.03	4198.53
45524.0	-339.49	754.16	-70.81
45579.0	431.15	258.5	2321.15
45635.0	434.55	135.8	266.74
45691.0	672.68	-88.27	1501.04
45746.0	414.66	-1049.51	1108.2
45800.0	97.97	-1525.77	625.63
45855.0	-84.87	-812.35	457.83
45911.0	459.28	-2130.55	696.44
45966.0	643.09	-774.04	1265.33
46021.0	-62.56	-102.33	1163.0
46077.0	-306.51	-82.93	424.85
46132.0	-362.29	-256.07	945.73
46187.0	-226.0	-348.22	847.27
46242.0	-97.97	-182.36	1053.39
46297.0	15.52	-213.88	754.64
