Time	Yaw	Pitch	Roll
230704.0	91.66	1542.74	395.75
230759.0	-337.07	807.5	981.13
230813.0	425.33	11.15	1203.25
230869.0	-97.48	110.09	1151.84
230923.0	-226.49	-178.48	1096.07
230979.0	-41.71	223.09	940.39
231033.0	38.31	329.79	1603.37
231088.0	-209.51	447.64	941.85
231143.0	-409.81	353.07	798.29
231197.0	-8.73	425.82	900.62
231252.0	366.17	297.78	602.35
231307.0	812.84	389.93	766.76
231362.0	1259.03	633.39	1169.79
231417.0	-204.66	567.44	1690.67
231472.0	-921.48	87.78	4031.21
231526.0	-27.64	-838.06	1025.75
231581.0	177.51	-530.58	1303.16
231636.0	371.99	-543.19	688.68
231692.0	544.16	68.87	416.6
231746.0	340.46	957.36	1143.11
231801.0	-140.16	1520.92	563.56
231856.0	-1596.09	2549.09	-347.25
231911.0	441.82	507.78	1127.11
231965.0	119.79	91.18	1121.29
232020.0	-97.97	-93.6	1007.8
232075.0	-8.73	-204.18	1198.4
232130.0	0.48	269.17	992.28
232185.0	-110.58	213.88	1031.08
232240.0	-529.12	28.13	785.19
232295.0	-210.0	279.35	934.57
232349.0	70.32	277.41	1033.51
232404.0	560.16	316.21	1490.37
232459.0	1396.76	576.16	997.13
232514.0	596.53	511.66	1380.27
232570.0	-553.37	-308.45	2390.5
232624.0	-136.28	-791.5	1754.2
232679.0	-98.94	-875.4	232.79
232734.0	271.11	-543.19	452.49
232788.0	434.06	411.27	623.69
232843.0	190.6	1313.35	1101.41
232898.0	-477.71	1203.25	1505.89
232952.0	-1335.17	3424.01	107.18
233007.0	735.24	92.15	1250.3
233062.0	154.71	207.57	902.56
233117.0	-49.47	42.19	1109.17
233172.0	38.8	296.33	674.13
233227.0	39.28	321.06	948.64
233281.0	-320.09	311.85	785.68
233336.0	-519.91	425.33	1020.41
233391.0	69.84	514.57	929.24
233446.0	852.12	729.42	582.95
233501.0	985.49	-71.29	1778.45
233556.0	-603.81	491.29	1087.34
233611.0	-274.99	-945.24	3766.9
233667.0	433.58	-762.89	2165.47
233721.0	-69.35	-361.32	29.58
233776.0	166.84	-314.27	944.76
233830.0	486.93	129.01	631.94
233885.0	464.62	977.73	695.47
233940.0	4.36	1548.08	702.75
233994.0	-502.45	3416.25	2534.54
234049.0	601.87	304.57	1045.63
234104.0	139.68	-35.89	861.82
234159.0	40.25	-59.65	1032.54
234214.0	-213.88	257.53	1109.65
234269.0	-758.04	90.21	1099.47
234324.0	-750.28	501.48	922.45
234379.0	7.76	376.35	1030.11
234435.0	418.54	359.86	938.94
234488.0	815.75	440.85	695.96
234543.0	1080.07	468.01	1194.52
234598.0	214.85	676.07	1521.89
234653.0	-742.52	341.43	3521.01
234707.0	-255.59	-454.92	508.27
234762.0	-14.06	-461.71	613.51
234817.0	174.11	-193.99	888.98
234872.0	253.65	75.17	1108.68
234927.0	274.5	559.68	820.6
234982.0	-62.08	1095.59	556.28
235037.0	-412.24	1192.58	1269.21
