Time	Yaw	Pitch	Roll
62804.0	939.42	-4027.82	6668.09
62812.0	1464.18	-2121.82	3223.71
62820.0	452.01	489.35	1844.89
62828.0	366.17	764.82	525.73
62835.0	-202.24	-121.25	1356.99
62843.0	194.48	-1635.38	1925.88
62851.0	135.31	-2593.71	2012.7
62859.0	-72.75	-2056.83	1300.25
62867.0	-243.46	-510.69	-775.98
62875.0	-258.5	723.6	773.07
62882.0	14.55	826.9	1991.84
62891.0	-44.62	-277.41	1215.38
62898.0	-38.8	-1727.04	-1048.06
62906.0	-317.67	-1849.74	-603.32
62914.0	-187.69	-1023.81	396.23
62922.0	10.18	-250.74	833.69
62929.0	132.89	36.37	1096.56
62937.0	24.25	-348.22	373.93
62945.0	42.68	-674.62	118.82
62954.0	237.16	-803.62	1272.12
62961.0	292.45	-532.03	2765.88
62969.0	394.29	-124.64	1433.14
62976.0	208.06	99.91	329.79
62984.0	97.97	24.25	616.9
62993.0	101.85	42.68	1314.8
63000.0	219.7	216.3	1314.32
63008.0	204.66	450.07	1046.12
63016.0	65.96	545.61	577.62
63024.0	165.38	664.43	325.91
63032.0	198.84	761.92	1455.45
63039.0	242.01	915.17	1753.71
63047.0	135.8	1014.11	786.16
63055.0	10.18	1105.29	167.81
63062.0	-119.79	1198.89	954.45
63070.0	-115.91	1317.71	1389.97
63078.0	-112.03	1480.18	1196.46
63086.0	-279.35	1513.16	1032.05
63094.0	-435.52	1522.38	682.86
63102.0	-577.62	1737.71	393.32
63109.0	-234.25	1438.47	1062.12
63118.0	-876.86	1615.01	2995.28
63125.0	-852.61	1267.76	-2215.91
63133.0	-1304.13	1435.08	-2686.34
63141.0	-1367.66	1565.05	-2393.9
63149.0	-710.51	1384.64	1877.87
63157.0	-1860.41	2692.16	10423.83
63164.0	2745.51	3168.42	-1974.38
63172.0	-2564.61	3402.19	-12110.13
63180.0	-6273.8	3652.44	15376.04
63189.0	-1912.79	4340.15	3561.75
63196.0	-64.5	257.04	-72.26
63204.0	1011.2	1332.26	1080.07
