Versión de firmware: v10.0
Time(ms), Yaw(º), Pitch(º), Roll(º), AccX(mg), AccY(mg), AccZ(mg)
3,49.27, 0.64, -5.78, 178.48, 1793.48, 2997.71;
11,50.11, 0.10, -5.40, 152.29, 1096.07, 943.30;
19,51.08, -0.40, -4.94, 231.82, 1266.79, 186.72;
27,52.16, -0.90, -4.42, -123.67, 1152.33, 2312.42;
35,53.30, -1.34, -3.71, 273.05, 1556.81, 1360.87;
43,54.48, -1.88, -2.81, 374.41, 931.18, -411.75;
51,55.72, -2.31, -2.00, 195.45, 776.95, 1550.02;
59,57.00, -2.66, -0.90, 96.03, 754.16, 668.31;
68,58.44, -2.99, 0.26, 55.77, 510.21, 803.62;
74,59.95, -3.28, 1.52, 305.54, 347.74, 512.63;
82,61.50, -3.56, 2.92, 170.72, 204.66, 2193.11;
90,63.08, -3.75, 4.29, 208.06, 155.68, 742.03;
99,64.67, -3.93, 5.60, 221.64, -45.10, 325.43;
107,66.30, -4.02, 7.01, 233.76, -177.51, 1719.76;
114,67.94, -4.10, 8.41, 191.08, -82.93, 943.30;
122,69.57, -4.12, 9.67, 246.86, -124.16, 640.67;
130,71.18, -4.10, 10.78, 228.43, -327.37, 500.02;
138,72.79, -4.00, 11.92, 189.63, -353.56, 1331.29;
145,74.38, -3.85, 13.09, 280.81, -368.11, 457.83;
153,75.93, -3.77, 14.14, 432.61, -465.59, 633.88;
162,77.44, -3.53, 15.38, 396.23, -591.68, 1441.87;
169,78.90, -3.25, 16.62, 415.15, -520.39, 552.40;
177,80.32, -3.02, 17.62, 508.75, -670.74, 650.37;
185,81.68, -2.65, 18.78, 597.50, -758.04, 1095.59;
193,83.00, -2.24, 19.87, 643.09, -790.04, 1692.61;
200,84.26, -1.80, 20.85, 709.54, -778.40, 863.28;
209,85.47, -1.34, 21.69, 742.03, -786.65, 1116.93;
216,86.65, -0.82, 22.38, 667.83, -775.98, 1925.40;
225,87.78, -0.29, 22.93, 688.68, -752.70, 1419.07;
232,88.85, 0.26, 23.36, 620.30, -766.76, 1502.49;
240,89.88, 0.83, 23.71, 495.17, -673.16, 1426.83;
248,90.87, 1.43, 23.98, 336.10, -628.54, 1456.42;
256,91.81, 1.99, 24.06, 282.75, -328.82, 899.65;
265,92.67, 2.63, 23.73, 118.34, -489.35, 1217.32;
271,93.46, 3.23, 23.50, -41.71, -277.41, 229.88;
279,93.99, 3.49, 22.43, -2654.82, -3240.69, -3706.27;
287,94.43, 3.81, 21.07, -956.88, -3240.69, 6077.86;
295,94.94, 3.80, 21.78, 220.18, 1226.53, 4593.31;
303,95.24, 3.60, 20.78, -380.23, 358.41, -3752.35;
311,95.46, 3.20, 19.86, -1723.64, -1865.26, 7431.94;
319,95.59, 2.40, 19.80, -905.96, -144.04, 4604.47;
327,95.60, 1.40, 19.61, -907.90, 401.08, 1396.76;
334,95.55, 0.24, 19.23, -920.99, -611.08, 2955.51;
